,tracks,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,url,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_url,genres,popularity,track_url,created_year,rank
10,ただ君に晴れ,ヨルシカ,0.679,0.834,5.0,-3.223,1.0,0.032,0.343,5.74e-06,0.119,0.962,139.996,audio_features,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz,3wJHCry960drNlAUGrJLmz,spotify:track:3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/tracks/3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/audio-analysis/3wJHCry960drNlAUGrJLmz,198971.0,4.0,https://open.spotify.com/artist/4UK2Lzi6fBfUi9rpDt6cik,['j-pop'],65,https://open.spotify.com/embed/track/3wJHCry960drNlAUGrJLmz,2022,11
11,恋はキライだ,Sangatsu no Phantasia,0.674,0.736,11.0,-3.859,1.0,0.0341,0.00254,0.0834,0.273,0.832,121.945,audio_features,https://open.spotify.com/track/6HOTgamtYw499WiL2ujiS4,6HOTgamtYw499WiL2ujiS4,spotify:track:6HOTgamtYw499WiL2ujiS4,https://api.spotify.com/v1/tracks/6HOTgamtYw499WiL2ujiS4,https://api.spotify.com/v1/audio-analysis/6HOTgamtYw499WiL2ujiS4,214456.0,4.0,https://open.spotify.com/artist/5WmX340gDNLIAyUcg4MzWN,"['anime', 'j-pixie']",45,https://open.spotify.com/embed/track/6HOTgamtYw499WiL2ujiS4,2022,12
12,Grand Escape (feat. Toko Miura),RADWIMPS,0.566,0.534,4.0,-7.414,1.0,0.0356,0.243,8.28e-05,0.116,0.4,146.033,audio_features,https://open.spotify.com/track/6CRX3ENpLq42r0iBSjOqr1,6CRX3ENpLq42r0iBSjOqr1,spotify:track:6CRX3ENpLq42r0iBSjOqr1,https://api.spotify.com/v1/tracks/6CRX3ENpLq42r0iBSjOqr1,https://api.spotify.com/v1/audio-analysis/6CRX3ENpLq42r0iBSjOqr1,339160.0,4.0,https://open.spotify.com/artist/1EowJ1WwkMzkCkRomFhui7,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']",69,https://open.spotify.com/embed/track/6CRX3ENpLq42r0iBSjOqr1,2022,13
13,Celebration (feat. Toko Miura),RADWIMPS,0.497,0.924,6.0,-2.132,0.0,0.0655,0.092,0.0,0.0993,0.681,151.997,audio_features,https://open.spotify.com/track/7dJLRobSnGBar7G1YhsId9,7dJLRobSnGBar7G1YhsId9,spotify:track:7dJLRobSnGBar7G1YhsId9,https://api.spotify.com/v1/tracks/7dJLRobSnGBar7G1YhsId9,https://api.spotify.com/v1/audio-analysis/7dJLRobSnGBar7G1YhsId9,274240.0,4.0,https://open.spotify.com/artist/1EowJ1WwkMzkCkRomFhui7,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']",69,https://open.spotify.com/embed/track/7dJLRobSnGBar7G1YhsId9,2022,14
14,Shine On Me,Sakurako Ohara,0.666,0.909,1.0,-4.229,0.0,0.0579,0.102,0.0,0.0809,0.576,113.014,audio_features,https://open.spotify.com/track/1IWIDiuMyqfPwin6QIPVqD,1IWIDiuMyqfPwin6QIPVqD,spotify:track:1IWIDiuMyqfPwin6QIPVqD,https://api.spotify.com/v1/tracks/1IWIDiuMyqfPwin6QIPVqD,https://api.spotify.com/v1/audio-analysis/1IWIDiuMyqfPwin6QIPVqD,257747.0,4.0,https://open.spotify.com/artist/5TS11vZTUaDP4maTjFCcBU,"['j-acoustic', 'j-idol', 'j-pop']",41,https://open.spotify.com/embed/track/1IWIDiuMyqfPwin6QIPVqD,2022,15
15,STORIES,fhána,0.697,0.779,7.0,-7.097,1.0,0.0373,0.0342,0.15,0.114,0.523,126.05,audio_features,https://open.spotify.com/track/0vNPq8QwWxOsgTRo7bhgyf,0vNPq8QwWxOsgTRo7bhgyf,spotify:track:0vNPq8QwWxOsgTRo7bhgyf,https://api.spotify.com/v1/tracks/0vNPq8QwWxOsgTRo7bhgyf,https://api.spotify.com/v1/audio-analysis/0vNPq8QwWxOsgTRo7bhgyf,235333.0,4.0,https://open.spotify.com/artist/5COrwcYLHQePdWt9V12iqv,['anime'],44,https://open.spotify.com/embed/track/0vNPq8QwWxOsgTRo7bhgyf,2022,16
16,癒えないキスをして*,ロイ-RöE-,0.841,0.667,7.0,-5.216,1.0,0.0326,0.302,0.00142,0.0578,0.952,120.032,audio_features,https://open.spotify.com/track/02Q3hh1O8sw5WFWpT1Qvmm,02Q3hh1O8sw5WFWpT1Qvmm,spotify:track:02Q3hh1O8sw5WFWpT1Qvmm,https://api.spotify.com/v1/tracks/02Q3hh1O8sw5WFWpT1Qvmm,https://api.spotify.com/v1/audio-analysis/02Q3hh1O8sw5WFWpT1Qvmm,228670.0,4.0,https://open.spotify.com/artist/6usmKMApacFmV6iZbnsMw6,[],32,https://open.spotify.com/embed/track/02Q3hh1O8sw5WFWpT1Qvmm,2022,17
17,向日葵,manaco,0.524,0.95,9.0,-3.117,1.0,0.0785,0.0576,2.3e-06,0.0681,0.554,163.987,audio_features,https://open.spotify.com/track/1FyKFxyw3pA93jV5JWTd3X,1FyKFxyw3pA93jV5JWTd3X,spotify:track:1FyKFxyw3pA93jV5JWTd3X,https://api.spotify.com/v1/tracks/1FyKFxyw3pA93jV5JWTd3X,https://api.spotify.com/v1/audio-analysis/1FyKFxyw3pA93jV5JWTd3X,265640.0,4.0,https://open.spotify.com/artist/2z0YOWu3zkbREo7VHyvQoK,[],23,https://open.spotify.com/embed/track/1FyKFxyw3pA93jV5JWTd3X,2022,18
18,トクベツ,manaco,0.629,0.877,6.0,-2.184,1.0,0.0413,0.0137,1.6e-06,0.104,0.468,142.0,audio_features,https://open.spotify.com/track/1shwXh1gAaNxo8SOYkCN5I,1shwXh1gAaNxo8SOYkCN5I,spotify:track:1shwXh1gAaNxo8SOYkCN5I,https://api.spotify.com/v1/tracks/1shwXh1gAaNxo8SOYkCN5I,https://api.spotify.com/v1/audio-analysis/1shwXh1gAaNxo8SOYkCN5I,227960.0,4.0,https://open.spotify.com/artist/2z0YOWu3zkbREo7VHyvQoK,[],23,https://open.spotify.com/embed/track/1shwXh1gAaNxo8SOYkCN5I,2022,19
19,タイムリミット,manaco,0.605,0.903,5.0,-3.692,1.0,0.0273,0.000641,0.000711,0.301,0.482,134.988,audio_features,https://open.spotify.com/track/1F8PX4Qoa6k1Jo3Nud0o2t,1F8PX4Qoa6k1Jo3Nud0o2t,spotify:track:1F8PX4Qoa6k1Jo3Nud0o2t,https://api.spotify.com/v1/tracks/1F8PX4Qoa6k1Jo3Nud0o2t,https://api.spotify.com/v1/audio-analysis/1F8PX4Qoa6k1Jo3Nud0o2t,254133.0,3.0,https://open.spotify.com/artist/2z0YOWu3zkbREo7VHyvQoK,[],23,https://open.spotify.com/embed/track/1F8PX4Qoa6k1Jo3Nud0o2t,2022,20
20,サイレン,Sangatsu no Phantasia,0.624,0.858,4.0,-4.603,0.0,0.0505,0.0312,2.59e-05,0.307,0.555,140.083,audio_features,https://open.spotify.com/track/67J4qFRl712CGN11fq7CfT,67J4qFRl712CGN11fq7CfT,spotify:track:67J4qFRl712CGN11fq7CfT,https://api.spotify.com/v1/tracks/67J4qFRl712CGN11fq7CfT,https://api.spotify.com/v1/audio-analysis/67J4qFRl712CGN11fq7CfT,225080.0,4.0,https://open.spotify.com/artist/5WmX340gDNLIAyUcg4MzWN,"['anime', 'j-pixie']",45,https://open.spotify.com/embed/track/67J4qFRl712CGN11fq7CfT,2022,21
21,青空なんて飛びたくなかった,熊川みゆ,0.53,0.348,6.0,-8.674,1.0,0.0292,0.911,0.000991,0.109,0.444,159.957,audio_features,https://open.spotify.com/track/7AsU6IeHy3fS7kWSyMu9AR,7AsU6IeHy3fS7kWSyMu9AR,spotify:track:7AsU6IeHy3fS7kWSyMu9AR,https://api.spotify.com/v1/tracks/7AsU6IeHy3fS7kWSyMu9AR,https://api.spotify.com/v1/audio-analysis/7AsU6IeHy3fS7kWSyMu9AR,276247.0,4.0,https://open.spotify.com/artist/7ivVCtwuf00c6Nk7CQG4X8,['japanese singer-songwriter'],30,https://open.spotify.com/embed/track/7AsU6IeHy3fS7kWSyMu9AR,2022,22
22,MAKUAKE,eill,0.723,0.666,6.0,-5.84,1.0,0.0526,0.091,0.0,0.0884,0.763,125.941,audio_features,https://open.spotify.com/track/5F0LuK8XTN28rrZ2NS4spe,5F0LuK8XTN28rrZ2NS4spe,spotify:track:5F0LuK8XTN28rrZ2NS4spe,https://api.spotify.com/v1/tracks/5F0LuK8XTN28rrZ2NS4spe,https://api.spotify.com/v1/audio-analysis/5F0LuK8XTN28rrZ2NS4spe,217774.0,4.0,https://open.spotify.com/artist/3AiES4wyTOfJvNgqz9baDn,"['anime', 'j-pop', 'japanese r&b']",52,https://open.spotify.com/embed/track/5F0LuK8XTN28rrZ2NS4spe,2022,23
23,LEMONADE,I Don't Like Mondays.,0.77,0.69,11.0,-5.418,1.0,0.034,0.0302,0.0,0.0634,0.922,124.015,audio_features,https://open.spotify.com/track/72jcudIsoInAkuDvREu7xJ,72jcudIsoInAkuDvREu7xJ,spotify:track:72jcudIsoInAkuDvREu7xJ,https://api.spotify.com/v1/tracks/72jcudIsoInAkuDvREu7xJ,https://api.spotify.com/v1/audio-analysis/72jcudIsoInAkuDvREu7xJ,229213.0,4.0,https://open.spotify.com/artist/2DKISYy7EvTDO7eJHBK6yF,"['j-pop', 'j-rock', 'japanese r&b']",50,https://open.spotify.com/embed/track/72jcudIsoInAkuDvREu7xJ,2022,24
24,gift,I Don't Like Mondays.,0.656,0.5,11.0,-9.684,1.0,0.0346,0.788,0.0,0.109,0.346,111.945,audio_features,https://open.spotify.com/track/6huFV2SCZOW9fRUwXqGkHC,6huFV2SCZOW9fRUwXqGkHC,spotify:track:6huFV2SCZOW9fRUwXqGkHC,https://api.spotify.com/v1/tracks/6huFV2SCZOW9fRUwXqGkHC,https://api.spotify.com/v1/audio-analysis/6huFV2SCZOW9fRUwXqGkHC,258866.0,4.0,https://open.spotify.com/artist/2DKISYy7EvTDO7eJHBK6yF,"['j-pop', 'j-rock', 'japanese r&b']",50,https://open.spotify.com/embed/track/6huFV2SCZOW9fRUwXqGkHC,2022,25
25,ZERO GRAVITY,I Don't Like Mondays.,0.791,0.614,11.0,-6.672,0.0,0.0371,0.206,0.0,0.15,0.7,123.055,audio_features,https://open.spotify.com/track/35PraCsxRgIi9FEIVkbLVS,35PraCsxRgIi9FEIVkbLVS,spotify:track:35PraCsxRgIi9FEIVkbLVS,https://api.spotify.com/v1/tracks/35PraCsxRgIi9FEIVkbLVS,https://api.spotify.com/v1/audio-analysis/35PraCsxRgIi9FEIVkbLVS,257493.0,4.0,https://open.spotify.com/artist/2DKISYy7EvTDO7eJHBK6yF,"['j-pop', 'j-rock', 'japanese r&b']",50,https://open.spotify.com/embed/track/35PraCsxRgIi9FEIVkbLVS,2022,26
26,CALL ME,I Don't Like Mondays.,0.682,0.451,3.0,-9.195,1.0,0.0317,0.752,0.0,0.0894,0.354,116.954,audio_features,https://open.spotify.com/track/0AyERajyJfejXdw8DjslYp,0AyERajyJfejXdw8DjslYp,spotify:track:0AyERajyJfejXdw8DjslYp,https://api.spotify.com/v1/tracks/0AyERajyJfejXdw8DjslYp,https://api.spotify.com/v1/audio-analysis/0AyERajyJfejXdw8DjslYp,259706.0,4.0,https://open.spotify.com/artist/2DKISYy7EvTDO7eJHBK6yF,"['j-pop', 'j-rock', 'japanese r&b']",50,https://open.spotify.com/embed/track/0AyERajyJfejXdw8DjslYp,2022,27
27,忘れられないの,sakanaction,0.64,0.668,6.0,-6.979,0.0,0.037,0.31,0.000986,0.142,0.887,172.035,audio_features,https://open.spotify.com/track/5tFQelHYY5YNXcHi2zuAVR,5tFQelHYY5YNXcHi2zuAVR,spotify:track:5tFQelHYY5YNXcHi2zuAVR,https://api.spotify.com/v1/tracks/5tFQelHYY5YNXcHi2zuAVR,https://api.spotify.com/v1/audio-analysis/5tFQelHYY5YNXcHi2zuAVR,240000.0,4.0,https://open.spotify.com/artist/0hCWVMGGQnRVfDgmhwLIxq,"['hokkaido indie', 'j-pop', 'j-poprock', 'j-rock', 'japanese electropop']",56,https://open.spotify.com/embed/track/5tFQelHYY5YNXcHi2zuAVR,2022,28
28,no rain no rainbow,HY,0.635,0.889,0.0,-2.019,1.0,0.0945,0.332,0.0,0.0736,0.777,142.907,audio_features,https://open.spotify.com/track/5urE6pJ6lOVYzidvCFHmHz,5urE6pJ6lOVYzidvCFHmHz,spotify:track:5urE6pJ6lOVYzidvCFHmHz,https://api.spotify.com/v1/tracks/5urE6pJ6lOVYzidvCFHmHz,https://api.spotify.com/v1/audio-analysis/5urE6pJ6lOVYzidvCFHmHz,253467.0,4.0,https://open.spotify.com/artist/3x621ItlHMtX7mrJ8QnEjM,"['j-pop', 'j-poprock', 'j-rock', 'okinawan folk', 'okinawan pop']",50,https://open.spotify.com/embed/track/5urE6pJ6lOVYzidvCFHmHz,2022,29
